,Unnamed: 0,Rk,Player,Nation,Pos,Squad,Age,90 Mins,Goals,Shots,Shots_on_targ,Expected_goals,Age_Group,Physical_Category
0,0,1,Max Aarons,ENG,DF,Bournemouth,24.0,12.1,0.0,1.0,0.0,0.0,17-25 (Younger),More Physical
1,1,2,Bénie Adama Traore,CIV,"FW,MF",Sheffield Utd,21.0,4.3,0.0,1.0,1.0,0.3,17-25 (Younger),More Physical
2,2,3,Tyler Adams,USA,MF,Bournemouth,25.0,1.2,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
3,3,4,Tosin Adarabioyo,ENG,DF,Fulham,26.0,16.0,2.0,14.0,5.0,0.7,26-39 (Older),More Physical
4,4,5,Elijah Adebayo,ENG,FW,Luton Town,26.0,12.9,9.0,28.0,12.0,5.6,26-39 (Older),More Physical
5,5,6,Simon Adingra,CIV,FW,Brighton,22.0,18.8,6.0,36.0,15.0,3.3,17-25 (Younger),More Physical
6,6,7,Nayef Aguerd,MAR,DF,West Ham,28.0,19.6,1.0,14.0,3.0,1.5,26-39 (Older),Less Physical
7,7,8,Brandon Aguilera,CRC,FW,Nott'ham Forest,20.0,0.1,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
8,8,9,Naouirou Ahamada,FRA,"MF,FW",Crystal Palace,22.0,2.7,0.0,8.0,2.0,0.4,17-25 (Younger),More Physical
9,9,10,Anel Ahmedhodžić,BIH,DF,Sheffield Utd,25.0,23.4,1.0,16.0,4.0,2.6,17-25 (Younger),More Physical
10,10,11,Ola Aina,NGA,DF,Nott'ham Forest,27.0,13.8,1.0,7.0,1.0,0.2,26-39 (Older),Less Physical
11,11,12,Rayan Aït-Nouri,ALG,"DF,MF",Wolves,22.0,21.2,2.0,20.0,6.0,3.1,17-25 (Younger),More Physical
12,12,13,Kristoffer Ajer,NOR,DF,Brentford,25.0,17.4,2.0,9.0,3.0,1.1,17-25 (Younger),More Physical
13,13,14,Manuel Akanji,SUI,"DF,MF",Manchester City,28.0,21.1,2.0,10.0,4.0,0.9,26-39 (Older),Less Physical
